
# Fluid --batch --bench --max=100
# Width  
#  (ms)  C-GS    C-JC     -N1     -N2     -N4     -N7
64        570     470    1644    1559    1646     2457
96       1280    1020    3442    2311    2390     3187
128      2270    1800    4726    3240    2935     4691
192      5200    5950    8123    5892    5275     5241
256      9360   13180   11736    9448    8054     7995
384     22580   36490   28598   19677   15525    14830
512     41780   73480   48871   33758   27462    26679
768    100150  452800  106187   69166   50877    53401
1024   225230  559290  215665  132052  105811   107014


